,original,google_translate,,
988,The pipeline is implemented as in EXAMPLE 4-20.,파이프 라인은 예 4-20에서와 같이 구현됩니다.,,
989,Example 4-20.,예 4-20.,,
990,"Pipeline implementation
@dsl.pipeline(
    name='Conditional execution pipeline',
    description='Shows how to use dsl.Condition().'","파이프 라인 구현
@ dsl.pipeline (
    name = '조건부 실행 파이프 라인',
    description = 'dsl.Condition () 사용법을 보여줍니다.'",,
991,")
def conditional_pipeline():
    number = get_random_int_op(0, 100).output 
    with dsl.Condition(number < 10): 
	process_small_op(number)
    with dsl.Condition(number > 10 and number < 50): 
	process_medium_op(number)
    with dsl.Condition(number > 50): 
	process_large_op(number)

kfp.Client().create_run_from_pipeline_func(conditional_pipeline, arguments={}) 


Depending on the number we get here…

We will continue on to one of these operations.",")
def conditional_pipeline () :
    숫자 = get_random_int_op (0, 100) .output
    dsl.Condition (숫자 <10) :
process_small_op (숫자)
    dsl.Condition (숫자> 10 및 숫자 <50) 사용 :
process_medium_op (숫자)
    dsl.Condition (숫자> 50) :
process_large_op (숫자)

kfp.Client (). create_run_from_pipeline_func (조건부 _ 파이프 라인, 인수 = {})


여기에 오는 숫자에 따라 ...

우리는 이러한 작업 중 하나를 계속할 것입니다.",,
992,Note here that we are specifying empty arguments—required parameter.,여기서는 필수 매개 변수 인 빈 인수를 지정하고 있습니다.,,
993,"Finally, the execution graph, as shown in FIGURE 4-9.",마지막으로 그림 4-9에 표시된 실행 그래프입니다.,,
994,Figure 4-9.,그림 4-9.,,
995,"Execution of conditional pipelines example

From this graph, we can see that the pipeline really splits into three branches and process-large-op execution is selected in this run.","조건부 파이프 라인 실행 예제

이 그래프에서 파이프 라인이 실제로 세 개의 분기로 분할되고이 실행에서 프로세스 대규모 작업 실행이 선택되었음을 알 수 있습니다.",,
996,"To validate that this is correct, we look at the execution log, shown in FIGURE 4-10.",이것이 올바른지 확인하기 위해 그림 4-10에 표시된 실행 로그를 살펴 봅니다.,,
997,Figure 4-10.,그림 4-10.,,
998,"Viewing conditional pipeline log

Here we can see that the generated number is 67.","조건부 파이프 라인 로그보기

여기에서 생성 된 숫자가 67임을 알 수 있습니다.",,
999,"This number is larger than 50, which means that the process_large_op branch should be executed.",이 숫자는 50보다 크므로 process_large_op 분기를 실행해야합니다.,,
1000,"[7]


4.3.2.","[7]


4.3.2.",,
1001,"Running Pipelines on Schedule
We have run our pipeline manually.","일정에 따라 파이프 라인 실행
파이프 라인을 수동으로 실행했습니다.",,
1002,"This is good for testing, but is often insufficient for production environments.",이것은 테스트에는 좋지만 프로덕션 환경에는 종종 충분하지 않습니다.,,
1003,"Fortunately, you can run pipelines on a schedule, as described on  thisKubeflow documentation page.",다행히이 Kubeflow 문서 페이지에 설명 된대로 일정에 따라 파이프 라인을 실행할 수 있습니다.,,
1004,"First, you need to upload a pipeline definition and specify a description.",먼저 파이프 라인 정의를 업로드하고 설명을 지정해야합니다.,,
1005,"When this is done, you can create a periodic run by
creating a run and selecting a run type of “Recurring,” then following the instructions on the screen, as seen in FIGURE 4-11.","이 작업이 완료되면 다음을 통해 정기적 인 실행을 만들 수 있습니다.
실행을 만들고 ""반복""실행 유형을 선택한 다음 그림 4-11에 표시된대로 화면의 지침을 따릅니다.",,
1006,In this figure we are setting a pipeline to run every day.,이 그림에서는 매일 실행되도록 파이프 라인을 설정하고 있습니다.,,
1007,"Warning
When creating a periodic run we are specifying how often to run a pipeline, not when to run it.","경고
주기적 실행을 생성 할 때 파이프 라인 실행시기가 아니라 실행 빈도를 지정합니다.",,
1008,"In the
current implementation, the time of execution is defined by when the run is created.","에서
현재 구현에서 실행 시간은 실행이 생성 될 때 정의됩니다.",,
1009,"Once it is created, it is executed
immediately and then executed with the defined frequency.","생성되면 실행됩니다.
즉시 정의 된 빈도로 실행됩니다.",,
1010,"If, for example, a daily run is created at 10 am, it will be executed at 10 am daily.",예를 들어 일일 실행이 오전 10시에 생성되면 매일 오전 10시에 실행됩니다.,,
1011,"Setting periodic execution of pipelines is an important functionality, allowing you to completely automate pipeline execution.",파이프 라인의주기적인 실행을 설정하는 것은 파이프 라인 실행을 완전히 자동화 할 수있는 중요한 기능입니다.,,
1012,Figure 4-11.,그림 4-11.,,
1013,"Setting up periodic execution of a pipeline




4.4.","파이프 라인의 주기적 실행 설정




4.4.",,
1014,"Conclusion
You should now have the basics of how to build, schedule, and run some simple pipelines.","결론
이제 몇 가지 간단한 파이프 라인을 빌드, 예약 및 실행하는 방법에 대한 기본 사항이 있습니다.",,
1015,"You also learned about the
tools that pipelines use for when you need to debug.","당신은 또한에 대해 배웠습니다
디버그해야 할 때 파이프 라인에서 사용하는 도구입니다.",,
1016,"We showed how to integrate existing software into pipelines, how to implement conditional execution inside a pipeline, and how to run pipelines on a schedule.","기존 소프트웨어를 파이프 라인에 통합하는 방법, 파이프 라인 내에서 조건부 실행을 구현하는 방법, 일정에 따라 파이프 라인을 실행하는 방법을 보여주었습니다.",,
1017,"In our next chapter, we look at how to use pipelines for data preparation with some examples.",다음 장에서는 몇 가지 예를 통해 데이터 준비를 위해 파이프 라인을 사용하는 방법을 살펴 봅니다.,,
1018,[1] This can often be automatically inferred when passing the result of one pipeline stage as the input to others.,[1] 이것은 종종 한 파이프 라인 단계의 결과를 다른 단계의 입력으로 전달할 때 자동으로 추론 될 수 있습니다.,,
1019,You can also specify additional dependencies manually.,추가 종속성을 수동으로 지정할 수도 있습니다.,,
1020,[2] Kubernetes persistent volumes can provide different access modes.,[2] Kubernetes 영구 볼륨은 다양한 액세스 모드를 제공 할 수 있습니다.,,
1021,[3] Generic read-write-many implementation is NFS server.,[3] 일반적인 읽기-쓰기-다수 구현은 NFS 서버입니다.,,
1022,[4] Usage of the cloud native access storage can be handy if you need to ensure portability of your solution across multiple cloud providers.,[4] 여러 클라우드 공급자간에 솔루션의 이식성을 보장해야하는 경우 클라우드 네이티브 액세스 스토리지를 사용하면 편리 할 수 있습니다.,,
1023,"[5] For installation of Argo Workflow on another OS, refer to these Argo instructions.",[5] 다른 OS에 Argo Workflow를 설치하려면이 Argo 지침을 참조하십시오.,,
1024,[6] Many of the standard components are in this Kubeflow GitHub repo.,[6] 많은 표준 구성 요소가이 Kubeflow GitHub 저장소에 있습니다.,,
1025,[7] A slightly more complex example of conditional processing (with nested conditions) can be found in this GitHub site.,[7]이 GitHub 사이트에서 조건부 처리의 약간 더 복잡한 예 (중첩 된 조건 포함)를 찾을 수 있습니다.,,
1026,Chapter 5.,5 장.,,
1027,"Data and Feature Preparation
Machine learning algorithms are only as good as their training data.","데이터 및 기능 준비
기계 학습 알고리즘은 훈련 데이터만큼 우수합니다.",,
1028,Getting good data for training involves data and feature preparation.,훈련을위한 좋은 데이터를 얻으려면 데이터와 기능 준비가 필요합니다.,,
1029,Data preparation is the process of sourcing the data and making sure it’s valid.,데이터 준비는 데이터를 소싱하고 유효한지 확인하는 프로세스입니다.,,
1030,"This is a multistep process[1] that can include data collection, augmentation, statistics calculation, schema validation, outlier pruning, and various validation techniques.","이것은 데이터 수집, 증강, 통계 계산, 스키마 유효성 검사, 이상치 정리 및 다양한 유효성 검사 기술을 포함 할 수있는 다단계 프로세스 [1]입니다.",,
1031,"Not having enough data can lead to overfitting, missing significant correlations, and more.","데이터가 충분하지 않으면 과적 합, 중요한 상관 관계 누락 등이 발생할 수 있습니다.",,
1032,Putting in the effort to collect more records and information about each sample during data preparation can considerably improve the model.,데이터 준비 중에 각 샘플에 대한 더 많은 기록과 정보를 수집하려는 노력을 기울이면 모델을 상당히 개선 할 수 있습니다.,,
1033,"[2]
Feature preparation (sometimes called feature engineering) refers to transforming the raw input data into features that the machine learning model can use.","[2]
특성 준비 (특성 엔지니어링이라고도 함)는 원시 입력 데이터를 기계 학습 모델이 사용할 수있는 특성으로 변환하는 것을 의미합니다.",,
1034,"[3] Poor feature preparation can lead to losing out on important relations, such as a linear model with nonlinear terms not expanded, or a deep learning model with inconsistent image 
orientation.","[3] 잘못된 특성 준비는 비선형 용어가 확장되지 않은 선형 모델 또는 일관되지 않은 이미지가있는 딥 러닝 모델과 같은 중요한 관계를 놓칠 수 있습니다.
정위.",,
1035,Small changes in data and feature preparation can lead to significantly different model outputs.,데이터 및 기능 준비의 작은 변경으로 인해 모델 출력이 크게 달라질 수 있습니다.,,
1036,"The iterative approach is the best for both feature and data preparation, revisiting them as your understanding of the problem and model changes.",반복적 접근 방식은 기능 및 데이터 준비 모두에 가장 적합하며 문제에 대한 이해와 모델 변경에 따라 다시 검토합니다.,,
1037,Kubeflow Pipelines makes it easier for us to iterate our data and feature preparation.,Kubeflow Pipelines를 사용하면 데이터 및 기능 준비를 더 쉽게 반복 할 수 있습니다.,,
1038,We will explore how to use hyperparameter tuning to iterate in CHAPTER 10.,10 장에서 반복하기 위해 하이퍼 파라미터 튜닝을 사용하는 방법을 살펴 보겠습니다.,,
1039,"In this chapter, we will cover different approaches to data and feature preparation and demonstrate how to make them repeatable by using pipelines.",이 장에서는 데이터 및 기능 준비에 대한 다양한 접근 방식을 다루고 파이프 라인을 사용하여 반복 가능하게 만드는 방법을 보여줍니다.,,
1040,We assume you are already familiar with local tools.,이미 로컬 도구에 익숙하다고 가정합니다.,,
1041,"As such, we’ll start by covering how to structure our local code for pipelines, and then move on to more scalable distributed tools.",따라서 파이프 라인에 대한 로컬 코드를 구성하는 방법부터 시작하여 확장 가능한 분산 도구로 이동합니다.,,
1042,"Once we’ve explored the tools, we’ll put them together in a pipeline, using the examples from SECTION 1.7.",도구를 살펴본 후에는 섹션 1.7의 예를 사용하여 도구를 파이프 라인에 통합 할 것입니다.,,
1043,5.1.,5.1.,,
1044,"Deciding on the Correct Tooling
There are a wide variety of data and feature preparation tools.","올바른 툴링 결정
다양한 데이터 및 기능 준비 도구가 있습니다.",,
1045,[4] We can categorize them into distributed and local.,[4] 분산 형과 로컬 형으로 분류 할 수 있습니다.,,
1046,Local tools run on a single machine and offer a great amount of flexibility.,로컬 도구는 단일 시스템에서 실행되며 상당한 유연성을 제공합니다.,,
1047,Distributed tools run on many machines so they can handle larger and more complex tasks.,분산 도구는 많은 컴퓨터에서 실행되므로 더 크고 복잡한 작업을 처리 할 수 있습니다.,,
1048,"With two very distinct paths of tooling, making the wrong decision here can require substantial changes in code later.",두 가지 매우 다른 도구 경로를 사용하여 여기서 잘못된 결정을 내리려면 나중에 코드를 크게 변경해야 할 수 있습니다.,,
1049,"If the input data size is relatively small, a single machine offers you all of the tools you are used to.",입력 데이터 크기가 상대적으로 작은 경우 단일 머신이 익숙한 모든 도구를 제공합니다.,,
1050,Larger data sizes tend to require distributed tools for the entire pipeline or just as a sampling stage.,데이터 크기가 클수록 전체 파이프 라인 또는 샘플링 단계에 분산 된 도구가 필요한 경향이 있습니다.,,
1051,"Even with smaller datasets, distributed systems, like Apache Spark, Dask, or TFX with Beam, can be faster but may require learning new tools.","더 작은 데이터 세트로도 Apache Spark, Dask 또는 TFX with Beam과 같은 분산 시스템은 더 빠를 수 있지만 새로운 도구를 학습해야 할 수 있습니다.",,
1052,"[5]
Using the same tool for all of the data and feature preparation activities is not necessary.","[5]
모든 데이터 및 기능 준비 활동에 동일한 도구를 사용할 필요는 없습니다.",,
1053,Using multiple tools is especially common when working with different datasets where using the same tools would be inconvenient.,여러 도구를 사용하는 것은 동일한 도구를 사용하는 것이 불편할 수있는 다른 데이터 세트로 작업 할 때 특히 일반적입니다.,,
1054,Kubeflow Pipelines allows you to split the implementation into multiple steps and connect them (even if they use different languages) into a cohesive system.,Kubeflow Pipelines를 사용하면 구현을 여러 단계로 분할하고 서로 다른 언어를 사용하더라도 하나의 응집 된 시스템으로 연결할 수 있습니다.,,
1055,5.2.,5.2.,,
1056,"Local Data and Feature Preparation
Working locally limits the scale of data but offers the most comprehensive range of tools.","로컬 데이터 및 기능 준비
로컬 작업은 데이터의 규모를 제한하지만 가장 포괄적 인 도구 범위를 제공합니다.",,
1057,A common way to implement data and feature preparation is with Jupyter notebooks.,데이터 및 기능 준비를 구현하는 일반적인 방법은 Jupyter 노트북을 사용하는 것입니다.,,
1058,"In CHAPTER 4, we covered how to turn parts of the notebook into a pipeline, and here we’ll look at how to structure our data and feature prep code to make this easy.",4 장에서는 노트북의 일부를 파이프 라인으로 전환하는 방법을 다루었으며 여기에서는이를 쉽게 수행 할 수 있도록 데이터 및 기능 준비 코드를 구성하는 방법을 살펴 보겠습니다.,,
1059,Using notebooks for data preparation can be a great way to start exploring the data.,데이터 준비를 위해 노트북을 사용하는 것은 데이터 탐색을 시작하는 좋은 방법이 될 수 있습니다.,,
1060,"Notebooks can be especially useful at this stage since we often have the least amount of understanding, and because using visualizations to understand our data can be quite beneficial.",우리는 종종 최소한의 이해도를 가지고 있고 시각화를 사용하여 데이터를 이해하는 것이 매우 유익 할 수 있기 때문에 노트북은이 단계에서 특히 유용 할 수 있습니다.,,
1061,5.2.1.,5.2.1.,,
1062,"Fetching the Data
For our mailing list example, we use data from public archives on the internet.","데이터 가져 오기
메일 링리스트의 예에서는 인터넷에있는 공개 아카이브의 데이터를 사용합니다.",,
1063,"Ideally, you want to connect to a database, stream, or other data repository.","이상적으로는 데이터베이스, 스트림 또는 기타 데이터 저장소에 연결하려고합니다.",,
1064,"However, even in production, fetching web data can be necessary.",그러나 프로덕션 환경에서도 웹 데이터를 가져와야 할 수 있습니다.,,
1065,"First, we’ll implement our data-fetching algorithm, which takes an Apache Software Foundation (ASF) project’s email list location along with the year from which to fetch messages.",먼저 ASF (Apache Software Foundation) 프로젝트의 이메일 목록 위치와 메시지를 가져올 연도를 가져 오는 데이터 가져 오기 알고리즘을 구현합니다.,,
1066,EXAMPLE 5-1 returns the path to the records it fetches so we can use that as the input to the next pipeline stage.,예 5-1은 가져 오는 레코드의 경로를 반환하므로이를 다음 파이프 라인 단계의 입력으로 사용할 수 있습니다.,,
1067,"Note
The function downloads at most one year of data, and it sleeps between calls.","노트
이 함수는 최대 1 년 분량의 데이터를 다운로드하며 호출 사이에 휴면합니다.",,
1068,This is to prevent overwhelming the ASF mail archive servers.,이는 ASF 메일 보관 서버의 과부하를 방지하기위한 것입니다.,,
1069,The ASF is a charity, please be mindful of that when downloading data and do not abuse this service.,ASF는 자선 단체입니다.데이터를 다운로드 할 때이를 염두에두고이 서비스를 남용하지 마십시오.,
1070,Example 5-1.,예 5-1.,,
1071,"Downloading the mailing list data
def download_data(year: int) -> str:

  # The imports are inline here so Kubeflow can serialize the function correctly.","메일 링리스트 데이터 다운로드
def download_data (year : int)-> str :

  # 가져 오기는 여기에서 인라인되므로 Kubeflow가 함수를 올바르게 직렬화 할 수 있습니다.",,
1072,"from datetime import datetime
  from lxml import etree
  from requests import get
  from time import sleep

 import json

  def scrapeMailArchives(mailingList: str, year: int, month: int):
      #Ugly xpath code goes here.","datetime 가져 오기 datetime에서
  lxml에서 etree 가져 오기
  요청에서 가져 오기 가져 오기
  시간 수입 수면에서

 json 가져 오기

  def scrapeMailArchives (mailingList : str, year : int, month : int) :
      #Ugly xpath 코드는 여기에 있습니다.",,
1073,See the example repo if you're curious.,궁금하다면 예제 저장소를 참조하세요.,,
1074,"datesToScrape =  [(year, i) for i in range(1,2)]

   records = []
   for y,m in datesToScrape:
     print(m,""-"",y)
     records += scrapeMailArchives(""spark-dev"", y, m)
   output_path = '/data_processing/data.json'
   with open(output_path, 'w') as f:
     json.dump(records, f)

   return output_path
This code downloads all of the mailing list data for a given year and saves it to a known path.","dateToScrape = [(year, i) for i in range (1,2)]]

   레코드 = []
   dateToScrape의 y, m :
     print (m, ""-"", y)
     레코드 + = scrapeMailArchives ( ""spark-dev"", y, m)
   output_path = '/data_processing/data.json'
   open (output_path, 'w')를 f로 사용 :
     json.dump (레코드, f)

   output_path 반환
이 코드는 특정 연도의 모든 메일 링리스트 데이터를 다운로드하여 알려진 경로에 저장합니다.",,
1075,"In this example, a persistent volume needs to be mounted there to allow this data to move between stages, when we make our pipeline.",이 예에서는 파이프 라인을 만들 때이 데이터가 단계간에 이동할 수 있도록 영구 볼륨을 마운트해야합니다.,,
1076,"You may have a data dump as part of the machine learning pipeline, or a different system or team may provide one.",머신 러닝 파이프 라인의 일부로 데이터 덤프가 있거나 다른 시스템 또는 팀에서 제공 할 수 있습니다.,,
1077,"For data on GCS or a PV, you can use the built-in components google-cloud/storage/download or filesystem/get_subdirectory to load the data instead of writing a custom function.",GCS 또는 PV의 데이터의 경우 맞춤 함수를 작성하는 대신 기본 제공 구성 요소 google-cloud / storage / download 또는 filesystem / get_subdirectory를 사용하여 데이터를로드 할 수 있습니다.,,
1078,5.2.2.,5.2.2.,,
1079,"Data Cleaning: Filtering Out the Junk
Now that we’ve loaded our data, it’s time to do some simple data cleaning.","데이터 정리 : 정크 필터링
이제 데이터를로드 했으므로 간단한 데이터 정리를 수행 할 차례입니다.",,
1080,"Local tools are more common, so we’ll focus on them first.",로컬 도구가 더 일반적이므로 먼저 해당 도구에 초점을 맞출 것입니다.,,
1081,"While data cleaning often depends on domain expertise, there are standard tools to assist with common tasks.",데이터 정리는 종종 도메인 전문 지식에 의존하지만 일반적인 작업을 지원하는 표준 도구가 있습니다.,,
1082,A first step can be validating input records by checking the schema.,첫 번째 단계는 스키마를 확인하여 입력 레코드의 유효성을 검사하는 것입니다.,,
1083,"That is to say, we check to see if the fields are present and are the right type.","즉, 필드가 있고 올바른 유형인지 확인합니다.",,
1084,"To check the schema in the mailing list example, we ensure a sender,  subject, and body all exist.","메일 링리스트 예제에서 스키마를 확인하기 위해 보낸 사람, 제목 및 본문이 모두 존재하는지 확인합니다.",,
1085,"To convert this into an independent component, we’ll make our function take a parameter for the input path and return the file path to the cleaned records.",이를 독립적 인 구성 요소로 변환하기 위해 함수가 입력 경로에 대한 매개 변수를 취하고 파일 경로를 정리 된 레코드로 반환하도록 할 것입니다.,,
1086,"The amount of code it takes to do this is relatively small, shown in EXAMPLE 5-2.",이를 수행하는 데 필요한 코드의 양은 비교적 적습니다 (예제 5-2 참조).,,
1087,Example 5-2.,예 5-2.,,
1088,"Data cleaning
def clean_data(input_path: str) -> str:
    import json
    import pandas as pd

    print(""loading records..."")
    with open(input_path, 'r') as f:
        records = json.load(f)
    print(""records loaded"")

    df = pd.DataFrame(records)
    # Drop records without a subject, body, or sender
    cleaned = df.dropna(subset=[""subject"", ""body"", ""from""])

    output_path_hdf = '/data_processing/clean_data.hdf'
    cleaned.to_hdf(output_path_hdf, key=""clean"")

    return output_path_hdf
There are many other standard data quality techniques besides dropping missing fields.","데이터 정리
def clean_data (input_path : str)-> str :
    json 가져 오기
    팬더를 pd로 가져 오기

    print ( ""레코드로드 중 ..."")
    open (input_path, 'r')을 f로 사용 :
        레코드 = json.load (f)
    print ( ""로드 된 레코드"")

    df = pd.DataFrame (레코드)
    # 제목, 본문 또는 보낸 사람없이 레코드 삭제
    clean = df.dropna (subset = [ ""subject"", ""body"", ""from""])

    output_path_hdf = '/data_processing/clean_data.hdf'
    clean.to_hdf (output_path_hdf, key = ""clean"")

    output_path_hdf 반환
누락 된 필드를 삭제하는 것 외에 다른 많은 표준 데이터 품질 기술이 있습니다.",,
1089,Two of the more popular ones are imputing missing data[6] and analyzing and removing outliers that may be the result of incorrect measurements.,더 많이 사용되는 두 가지 방법은 누락 된 데이터를 대치하고 [6] 잘못된 측정의 결과 일 수있는 이상 값을 분석 및 제거하는 것입니다.,,
1090,"Regardless of which additional general techniques you decide to perform, you can simply add them to your data-cleaning function.",수행하기로 결정한 추가 일반 기술에 관계없이 단순히 데이터 정리 기능에 추가 할 수 있습니다.,,
1091,Domain specific data cleaning tools can also be beneficial.,도메인 별 데이터 정리 도구도 유용 할 수 있습니다.,,
1092,"In the mailing list example, one potential source of noise in our data could be spam messages.",메일 링리스트 예에서 데이터의 잠재적 잡음 원인 중 하나는 스팸 메시지 일 수 있습니다.,,
1093,One way to solve this would be by using SpamAssassin.,이를 해결하는 한 가지 방법은 SpamAssassin을 사용하는 것입니다.,,
1094,We can add this package to our container as shown in EXAMPLE 5-3.,예제 5-3에 표시된대로 컨테이너에이 패키지를 추가 할 수 있습니다.,,
1095,"Adding system software, not managed by pip, on top of the notebook images is a bit more complicated because of permissions.",노트북 이미지 위에 pip로 관리되지 않는 시스템 소프트웨어를 추가하는 것은 권한 때문에 조금 더 복잡합니다.,,
1096,"Most containers run as root, making it simple to install new system packages.",대부분의 컨테이너는 루트로 실행되므로 새 시스템 패키지를 간단하게 설치할 수 있습니다.,,
1097,"However, because of Jupyter, the notebook containers run as a less privileged user.",그러나 Jupyter로 인해 노트북 컨테이너는 권한이 낮은 사용자로 실행됩니다.,,
1098,"Installing new packages like this requires switching to the root user and back, which is not common in other Dockerfiles.",이와 같은 새 패키지를 설치하려면 루트 사용자로 전환했다가 다시 돌아 가야합니다. 이는 다른 Dockerfile에서는 일반적이지 않습니다.,,
1099,Example 5-3.,예 5-3.,,
1100,"Installing SpamAssassin
ARG base
FROM $base
# Run as root for updates
USER root
# Install SpamAssassin
RUN apt-get update && \
    apt-get install -yq spamassassin spamc && \
    apt-get clean && \
    rm -rf /var/lib/apt/lists/* && \
    rm -rf /var/cache/apt
# Switch back to the expected user
USER jovyan
After you created this Dockerfile, you’ll want to build it and push the resulting image somewhere that the Kubeflow cluster can access, as in EXAMPLE 2-8.","SpamAssassin 설치
ARG베이스
$ base에서
# 업데이트를 위해 루트로 실행
USER 루트
# SpamAssassin 설치
apt-get 업데이트 실행 && \
    apt-get install -yq spamassassin spamc && \
    apt-get clean && \
    rm -rf / var / lib / apt / lists / * && \
    rm -rf / var / cache / apt
# 예상 사용자로 다시 전환
사용자 jovyan
이 Dockerfile을 만든 후에는이를 빌드하고 결과 이미지를 Kubeflow 클러스터가 액세스 할 수있는 위치에 푸시하려고합니다 (예제 2-8 참조).",,
1101,Pushing a new container is not enough to let Kubeflow know that we want to use it.,새 컨테이너를 푸시하는 것만으로는 Kubeflow에 우리가 사용하고 싶다는 것을 알 수 없습니다.,,
1102,"When constructing a pipeline stage with func_to_container_op, you then need to specify the base_image parameter to the func_to_container_op function call.",func_to_container_op을 사용하여 파이프 라인 단계를 생성 할 때 func_to_container_op 함수 호출에 base_image 매개 변수를 지정해야합니다.,,
1103,We’ll show this when we bring the example together as a pipeline in EXAMPLE 5-35.,예제 5-35에서 예제를 파이프 라인으로 함께 가져올 때이를 보여줍니다.,,
1104,Here we see the power of containers again.,여기서 우리는 컨테이너의 힘을 다시 봅니다.,,
1105,You can add the tools we need on top of the building blocks provided by Kubeflow rather than making everything from scratch.,모든 것을 처음부터 만드는 대신 Kubeflow에서 제공하는 빌딩 블록 위에 필요한 도구를 추가 할 수 있습니다.,,
1106,"Once the data is cleaned, it’s time to make sure you have enough of it, or if not, explore augmenting your data.",데이터가 정리되면 데이터가 충분한 지 확인하거나 그렇지 않은 경우 데이터 보강을 탐색해야합니다.,,
1107,5.2.3.,5.2.3.,,
1108,"Formatting the Data
The correct format depends on which tool you’re using to do the feature preparation.","데이터 포맷
올바른 형식은 기능 준비를 위해 사용하는 도구에 따라 다릅니다.",,
1109,"If you’re sticking with the same tool you used for data preparation, an output can be the same as input.",데이터 준비에 사용한 것과 동일한 도구를 고수하는 경우 출력은 입력과 동일 할 수 있습니다.,,
1110,"Otherwise, you might find this a good place to change formats.",그렇지 않으면 여기가 형식을 변경하기에 좋은 곳임을 알 수 있습니다.,,
1111,"For example, when using Spark for data prep and TensorFlow for training, we often implement conversion to  TFRecords here.",예를 들어 Spark를 데이터 준비에 사용하고 TensorFlow를 학습에 사용할 때 여기에서 TFRecord로 변환을 구현하는 경우가 많습니다.,,
1112,5.2.4.,5.2.4.,,
1113,"Feature Preparation
How to do feature preparation depends on the problem.","기능 준비
기능 준비 방법은 문제에 따라 다릅니다.",,
1114,"With the mailing list example, we can write all kinds of text-processing functions and combine them into features, as shown in EXAMPLE 5-4.",메일 링리스트 예제를 사용하면 예제 5-4에서와 같이 모든 종류의 텍스트 처리 기능을 작성하고 기능으로 결합 할 수 있습니다.,,
1115,Example 5-4.,예 5-4.,,
1116,"Writing and combining text-processing functions into features
    df['domains'] = df['links'].apply(extract_domains)
    df['isThreadStart'] = df['depth'] == '0'

    # Arguably, you could split building the dataset away from the actual witchcraft.","텍스트 처리 기능을 기능에 작성 및 결합
    df [ '도메인'] = df [ '링크'] .apply (extract_domains)
    df [ 'isThreadStart'] = df [ 'depth'] == '0'

    # 논란의 여지가 있지만, 실제 요술과는 별도로 데이터 세트를 구축 할 수 있습니다.",,
1117,"from sklearn.feature_extraction.text import TfidfVectorizer

    bodyV = TfidfVectorizer()
    bodyFeatures = bodyV.fit_transform(df['body'])

    domainV = TfidfVectorizer()

    def makeDomainsAList(d):
        return ' '.join([a for a in d if not a is None])

    domainFeatures = domainV.fit_transform(
        df['domains'].apply(makeDomainsAList))

    from scipy.sparse import csr_matrix, hstack

    data = hstack([
        csr_matrix(df[[
            'containsPythonStackTrace', 'containsJavaStackTrace',
            'containsExceptionInTaskBody', 'isThreadStart'
        ]].to_numpy()), bodyFeatures, domainFeatures
    ])
So far, the example code is structured to allow you to turn each function into a separate pipeline stage; however, other options exist.","sklearn.feature_extraction.text에서 가져 오기 TfidfVectorizer

    bodyV = TfidfVectorizer ()
    bodyFeatures = bodyV.fit_transform (df [ 'body'])

    domainV = TfidfVectorizer ()

    def makeDomainsAList (d) :
        return ''.join ([a가 아닌 경우 d에 대한 a가 없음])

    domainFeatures = domainV.fit_transform (
        df [ 'domains']. apply (makeDomainsAList))

    scipy.sparse에서 가져 오기 csr_matrix, hstack

    데이터 = hstack ([
        csr_matrix (df [[
            'containsPythonStackTrace', 'containsJavaStackTrace',
            'containsExceptionInTaskBody', 'isThreadStart'
        ]]. to_numpy ()), bodyFeatures, domainFeatures
    ])
지금까지 예제 코드는 각 함수를 별도의 파이프 라인 단계로 전환 할 수 있도록 구성되었습니다.그러나 다른 옵션이 있습니다.",,
1118,We’ll examine how to use the entire notebook as a pipeline stage in SECTION 5.4.,섹션 5.4에서 전체 노트북을 파이프 라인 단계로 사용하는 방법을 살펴 보겠습니다.,,
1119,"There are data preparation tools beyond notebooks and Python, of course.",물론 노트북과 Python 외에도 데이터 준비 도구가 있습니다.,,
1120,Notebooks are not always the best tool as they can have difficulty with version control.,노트북은 버전 관리에 어려움을 겪을 수 있으므로 항상 최고의 도구는 아닙니다.,,
1121,Python doesn’t always have the libraries (or performance) you need.,Python에 필요한 라이브러리 (또는 성능)가 항상있는 것은 아닙니다.,,
1122,So we’ll now look at how to use other available tools.,이제 사용 가능한 다른 도구를 사용하는 방법을 살펴 보겠습니다.,,
1123,5.2.5.,5.2.5.,,
1124,"Custom Containers
Pipelines are not just limited to notebooks or even to specific languages.","커스텀 컨테이너
파이프 라인은 노트북이나 특정 언어에만 국한되지 않습니다.",,
1125,"[7] Depending on the project, you may have a regular Python project, custom tooling, Python 2, or even FORTRAN code as an essential component.","[7] 프로젝트에 따라 일반 Python 프로젝트, 사용자 지정 도구, Python 2 또는 FORTRAN 코드를 필수 구성 요소로 사용할 수 있습니다.",,
1126,"For instance, in CHAPTER 9 we will use Scala to perform one step in our pipeline.",예를 들어 9 장에서는 Scala를 사용하여 파이프 라인의 한 단계를 수행합니다.,,
1127,"Also, in ‘Using RStats’, we discuss how to get started with an RStats container.",또한 'RStat 사용'에서는 RStats 컨테이너를 시작하는 방법에 대해 설명합니다.,,
1128,Sometimes you won’t be able to find a container that so closely matches your needs as we did here.,때때로 우리가 여기에서했던 것처럼 귀하의 필요에 매우 근접한 용기를 찾을 수 없을 것입니다.,,
